BR,rho,rec_sp,don_sp,sensitivity
0.2,0.19,Cm,Cc,0.8923063696407462
0.2,0.19,Cm,Ac,0.9706134656598341
0.2,0.19,Cm,both,0.8908473086848864
0.2,0.19,Cm,Cc,0.966558364789121
0.2,0.19,Cm,Ac,1.0004863460215323
0.2,0.19,Cm,both,1.0256619951968886
0.2,0.19,Cm,Cc,0.900667401299293
0.2,0.19,Cm,Ac,0.9679437166494412
0.2,0.19,Cm,both,0.9044570442968616
0.2,0.19,Cm,Cc,0.9649837822251582
0.2,0.19,Cm,Ac,0.9855685929626112
0.2,0.19,Cm,both,1.0096733330605525
0.2,0.19,Cm,Cc,0.9319195528131847
0.2,0.19,Cm,Ac,0.9869187154288561
0.2,0.19,Cm,both,0.991222584713259
0.2,0.19,Cm,Cc,0.9662654386373771
0.2,0.19,Cm,Ac,0.9946432951968733
0.2,0.19,Cm,both,1.0371918901497823
0.2,0.19,Cm,Cc,0.916226911319628
0.2,0.19,Cm,Ac,0.98425668487364
0.2,0.19,Cm,both,0.9567647535449788
0.2,0.19,Cm,Cc,0.9258123874472144
0.2,0.19,Cm,Ac,0.9744836514234848
0.2,0.19,Cm,both,0.9145180675815379
0.2,0.19,Cm,Cc,0.9249634628591774
0.2,0.19,Cm,Ac,0.9814660724388057
0.2,0.19,Cm,both,0.9600943172345797
0.2,0.19,Cm,Cc,0.9462216780692332
0.2,0.19,Cm,Ac,0.9864170662895715
0.2,0.19,Cm,both,0.9788808045859481
0.2,0.19,Cm,Cc,0.9457576690509621
0.2,0.19,Cm,Ac,0.9805003322092376
0.2,0.19,Cm,both,0.9697051174599826
0.2,0.19,Cm,Cc,0.8993404036461629
0.2,0.19,Cm,Ac,0.9766793059181604
0.2,0.19,Cm,both,0.9255647316363944
0.2,0.19,Cm,Cc,0.9162691585432451
0.2,0.19,Cm,Ac,0.9870821308915839
0.2,0.19,Cm,both,0.9530126972212427
0.2,0.19,Cm,Cc,0.9339921807315869
0.2,0.19,Cm,Ac,0.9617825319530225
0.2,0.19,Cm,both,0.9461398418032235
0.2,0.19,Cm,Cc,0.9172980468781902
0.2,0.19,Cm,Ac,0.9816070279032326
0.2,0.19,Cm,both,0.9400834776511019
0.2,0.19,Cm,Cc,0.926321045317144
0.2,0.19,Cm,Ac,0.9857503499619955
0.2,0.19,Cm,both,0.9640990394226948
