BR,run,Weeks,Cc,Cm,Ac
0,5,53,NA,NA,NA
0,5,54,NA,NA,NA
0,5,55,NA,NA,NA
0,5,56,NA,NA,NA
0,5,57,NA,NA,NA
0,5,58,NA,NA,NA
0,5,59,NA,NA,NA
0,5,60,NA,NA,NA
0,5,61,NA,NA,NA
0,5,62,NA,NA,NA
0,5,63,NA,NA,NA
0,5,64,NA,NA,NA
0,5,65,NA,NA,NA
0,5,66,NA,NA,NA
0,5,67,NA,NA,NA
0,5,68,NA,NA,NA
0,5,69,NA,NA,NA
0,5,70,NA,NA,NA
0,5,71,NA,NA,NA
0,5,72,NA,NA,NA
0,5,73,NA,NA,NA
0,5,74,NA,NA,NA
0,5,75,NA,NA,NA
0,5,76,NA,NA,NA
0,5,77,NA,NA,NA
0,5,78,NA,NA,NA
0,5,79,NA,NA,NA
0,5,80,NA,NA,NA
0,5,81,NA,NA,NA
0,5,82,NA,NA,NA
0,5,83,NA,NA,NA
0,5,84,NA,NA,NA
0,5,85,NA,NA,NA
0,5,86,NA,NA,NA
0,5,87,NA,NA,NA
0,5,88,NA,NA,NA
0,5,89,NA,NA,NA
0,5,90,NA,NA,NA
0,5,91,NA,NA,NA
0,5,92,NA,NA,NA
0,5,93,NA,NA,NA
0,5,94,NA,NA,NA
0,5,95,NA,NA,NA
0,5,96,NA,NA,NA
0,5,97,NA,NA,NA
0,5,98,NA,NA,NA
0,5,99,NA,NA,NA
0,5,100,NA,NA,NA
0,5,101,NA,NA,NA
0,6,1,20,20,NA
0,6,2,20,20,NA
0,6,3,23,20,NA
0,6,4,95,148,NA
0,6,5,106,154,0
0,6,6,51,132,0
0,6,7,118,67,75
0,6,8,6,101,95
0,6,9,8,16,106
0,6,10,3,51,154
0,6,11,6,23,120
0,6,12,2,44,175
0,6,13,0,44,192
0,6,14,0,51,161
0,6,15,3,53,116
0,6,16,0,83,85
0,6,17,NA,103,63
0,6,18,NA,82,79
0,6,19,NA,72,81
0,6,20,NA,NA,NA
0,6,21,NA,NA,NA
0,6,22,NA,NA,NA
0,6,23,NA,NA,NA
0,6,24,NA,NA,NA
0,6,25,NA,NA,NA
0,6,26,NA,NA,NA
0,6,27,NA,NA,NA
0,6,28,NA,NA,NA
0,6,29,NA,NA,NA
0,6,30,NA,NA,NA
0,6,31,NA,NA,NA
0,6,32,NA,NA,NA
0,6,33,NA,NA,NA
0,6,34,NA,NA,NA
0,6,35,NA,NA,NA
0,6,36,NA,NA,NA
0,6,37,NA,NA,NA
0,6,38,NA,NA,NA
0,6,39,NA,NA,NA
0,6,40,NA,NA,NA
0,6,41,NA,NA,NA
0,6,42,NA,NA,NA
0,6,43,NA,NA,NA
0,6,44,NA,NA,NA
0,6,45,NA,NA,NA
0,6,46,NA,NA,NA
0,6,47,NA,NA,NA
0,6,48,NA,NA,NA
0,6,49,NA,NA,NA
0,6,50,NA,NA,NA
0,6,51,NA,NA,NA
0,6,52,NA,NA,NA
0,6,53,NA,NA,NA
0,6,54,NA,NA,NA
0,6,55,NA,NA,NA
0,6,56,NA,NA,NA
0,6,57,NA,NA,NA
0,6,58,NA,NA,NA
0,6,59,NA,NA,NA
0,6,60,NA,NA,NA
0,6,61,NA,NA,NA
0,6,62,NA,NA,NA
0,6,63,NA,NA,NA
0,6,64,NA,NA,NA
0,6,65,NA,NA,NA
0,6,66,NA,NA,NA
0,6,67,NA,NA,NA
0,6,68,NA,NA,NA
0,6,69,NA,NA,NA
0,6,70,NA,NA,NA
0,6,71,NA,NA,NA
0,6,72,NA,NA,NA
0,6,73,NA,NA,NA
0,6,74,NA,NA,NA
0,6,75,NA,NA,NA
0,6,76,NA,NA,NA
0,6,77,NA,NA,NA
0,6,78,NA,NA,NA
0,6,79,NA,NA,NA
0,6,80,NA,NA,NA
0,6,81,NA,NA,NA
0,6,82,NA,NA,NA
0,6,83,NA,NA,NA
0,6,84,NA,NA,NA
0,6,85,NA,NA,NA
0,6,86,NA,NA,NA
0,6,87,NA,NA,NA
0,6,88,NA,NA,NA
0,6,89,NA,NA,NA
0,6,90,NA,NA,NA
0,6,91,NA,NA,NA
0,6,92,NA,NA,NA
0,6,93,NA,NA,NA
0,6,94,NA,NA,NA
0,6,95,NA,NA,NA
0,6,96,NA,NA,NA
0,6,97,NA,NA,NA
0,6,98,NA,NA,NA
0,6,99,NA,NA,NA
0,6,100,NA,NA,NA
0,6,101,NA,NA,NA
0,7,1,20,20,NA
0,7,2,20,19,NA
0,7,3,49,21,NA
0,7,4,117,107,NA
0,7,5,112,125,0
0,7,6,47,152,11
0,7,7,143,36,28
0,7,8,24,107,63
0,7,9,6,60,96
0,7,10,1,37,165
0,7,11,30,28,128
0,7,12,5,35,NA
0,7,13,0,29,NA
0,7,14,3,30,136
0,7,15,10,38,179
0,7,16,3,43,49
0,7,17,0,46,60
0,7,18,32,50,13
0,7,19,4,90,30
0,7,20,0,98,139
0,7,21,13,75,119
0,7,22,14,39,182
0,7,23,0,54,116
0,7,24,0,37,172
